junction,period_date,traffic_risk,risk_score,year,month,total_accidents,fatal_accidents,injury_accidents,accidents_7d,accidents_30d,accidents_90d,accidents_1y,fatal_accidents_1y,injury_accidents_1y,historical_accident_rate,quarter,is_year_start,month_sin,month_cos,day_of_week,dow_sin,dow_cos,weekend_indicator,accidents_lag_1,accidents_lag_2,accidents_lag_3,accidents_rolling_mean_3,accidents_rolling_std_3,accidents_rolling_mean_6,accidents_rolling_std_6,accidents_trend_3_12,junction_target_enc,junction_ordinal_enc
Automotive Square,2022-03-01,LOW,0.0,2022,3,0,0,0,1.0,1.0,2.0,6.0,0.0,5.0,0.5,1,0,1.0,0.0,1,0.781831,0.62349,0,0.0,1.0,0.0,0.333,0.577,0.5,0.837,0.222,2.105208333333333,1
Automotive Square,2022-04-01,LOW,5.52,2022,4,2,0,2,0.0,0.0,1.0,4.0,0.0,3.0,0.333,2,0,0.866025,-0.5,4,-0.433884,-0.900969,0,1.0,0.0,1.0,0.667,0.577,0.333,0.516,0.667,2.105208333333333,1
Automotive Square,2022-05-01,LOW,5.52,2022,5,2,0,2,2.0,2.0,3.0,6.0,0.0,5.0,0.5,2,0,0.5,-0.866025,6,-0.781831,0.62349,1,0.0,1.0,0.0,0.333,0.577,0.333,0.516,0.222,2.105208333333333,1
Automotive Square,2022-06-01,LOW,0.0,2022,6,0,0,0,2.0,2.0,4.0,8.0,0.0,7.0,0.667,2,0,0.0,-1.0,2,0.974928,-0.222521,0,2.0,0.0,1.0,1.0,1.0,0.667,0.816,0.5,2.105208333333333,1
Automotive Square,2022-07-01,LOW,3.87,2022,7,2,0,1,0.0,0.0,4.0,8.0,0.0,7.0,0.667,3,0,-0.5,-0.866025,4,-0.433884,-0.900969,0,2.0,2.0,0.0,1.333,1.155,1.0,0.894,0.666,2.105208333333333,1
Automotive Square,2022-08-01,LOW,9.94,2022,8,3,0,2,2.0,2.0,4.0,10.0,0.0,8.0,0.833,3,0,-0.866025,-0.5,0,0.0,1.0,0,0.0,2.0,2.0,1.333,1.155,0.833,0.983,0.533,2.105208333333333,1
Automotive Square,2022-09-01,LOW,0.0,2022,9,0,0,0,3.0,3.0,5.0,11.0,0.0,8.0,0.917,3,0,-1.0,-0.0,3,0.433884,-0.900969,0,2.0,0.0,2.0,1.333,1.155,1.167,0.983,0.485,2.105208333333333,1
Automotive Square,2022-10-01,LOW,8.29,2022,10,3,0,3,0.0,0.0,5.0,11.0,0.0,8.0,0.917,4,0,-0.866025,0.5,5,-0.974928,-0.222521,1,3.0,2.0,0.0,1.667,1.528,1.5,1.225,0.606,2.105208333333333,1
Automotive Square,2022-11-01,LOW,1.1,2022,11,1,0,0,3.0,3.0,6.0,14.0,0.0,11.0,1.167,4,0,-0.5,0.866025,1,0.781831,0.62349,0,0.0,3.0,2.0,1.667,1.528,1.5,1.225,0.476,2.105208333333333,1
Automotive Square,2022-12-01,LOW,1.1,2022,12,1,0,0,1.0,1.0,4.0,15.0,0.0,11.0,1.25,4,0,-0.0,1.0,3,0.433884,-0.900969,0,3.0,0.0,3.0,2.0,1.732,1.667,1.366,0.533,2.105208333333333,1
Automotive Square,2023-01-01,LOW,2.76,2023,1,1,0,1,1.0,1.0,5.0,15.0,0.0,10.0,1.25,1,1,0.5,0.866025,6,-0.781831,0.62349,1,1.0,3.0,0.0,1.333,1.528,1.5,1.378,0.355,2.105208333333333,1
Automotive Square,2023-02-01,LOW,0.0,2023,2,0,0,0,1.0,1.0,3.0,16.0,0.0,11.0,1.333,1,0,0.866025,0.5,2,0.974928,-0.222521,0,1.0,1.0,3.0,1.667,1.155,1.667,1.211,0.417,2.105208333333333,1
Automotive Square,2023-03-01,LOW,3.87,2023,3,2,0,1,0.0,0.0,2.0,15.0,0.0,11.0,1.25,1,0,1.0,0.0,2,0.974928,-0.222521,0,1.0,1.0,1.0,1.0,0.0,1.5,1.225,0.267,2.105208333333333,1
Automotive Square,2023-04-01,LOW,1.1,2023,4,1,0,0,2.0,2.0,3.0,17.0,0.0,12.0,1.417,2,0,0.866025,-0.5,5,-0.974928,-0.222521,1,0.0,1.0,1.0,0.667,0.577,1.0,1.095,0.157,2.105208333333333,1
Automotive Square,2023-05-01,LOW,0.0,2023,5,0,0,0,1.0,1.0,3.0,16.0,0.0,10.0,1.333,2,0,0.5,-0.866025,0,0.0,1.0,0,2.0,0.0,1.0,1.0,1.0,1.333,1.033,0.25,2.105208333333333,1
Automotive Square,2023-06-01,LOW,0.0,2023,6,0,0,0,0.0,0.0,3.0,14.0,0.0,8.0,1.167,2,0,0.0,-1.0,3,0.433884,-0.900969,0,1.0,2.0,0.0,1.0,1.0,1.0,0.632,0.286,2.105208333333333,1
Automotive Square,2023-07-01,LOW,0.0,2023,7,0,0,0,0.0,0.0,1.0,14.0,0.0,8.0,1.167,3,0,-0.5,-0.866025,5,-0.974928,-0.222521,1,0.0,1.0,2.0,1.0,1.0,0.833,0.753,0.286,2.105208333333333,1
Automotive Square,2023-08-01,LOW,13.26,2023,8,3,0,3,0.0,0.0,0.0,12.0,0.0,7.0,1.0,3,0,-0.866025,-0.5,1,0.781831,0.62349,0,0.0,0.0,1.0,0.333,0.577,0.667,0.816,0.111,2.105208333333333,1
Automotive Square,2023-09-01,LOW,5.52,2023,9,2,0,1,3.0,3.0,3.0,12.0,0.0,8.0,1.0,3,0,-1.0,-0.0,4,-0.433884,-0.900969,0,0.0,0.0,0.0,0.0,0.0,0.5,0.837,0.0,2.105208333333333,1
Automotive Square,2023-10-01,LOW,0.0,2023,10,0,0,0,2.0,2.0,5.0,14.0,0.0,9.0,1.167,4,0,-0.866025,0.5,6,-0.781831,0.62349,1,3.0,0.0,0.0,1.0,1.732,1.0,1.265,0.286,2.105208333333333,1
Automotive Square,2023-11-01,LOW,7.18,2023,11,2,0,1,0.0,0.0,5.0,11.0,0.0,6.0,0.917,4,0,-0.5,0.866025,2,0.974928,-0.222521,0,2.0,3.0,0.0,1.667,1.528,1.0,1.265,0.606,2.105208333333333,1
